probe ID,primary,secondary,dG_md,ddG_md,Kd_md,Kd_SDS/Kd_PFOS
00001,"[""[Br]"", ""[Br]"", ""[Br]"", ""[Br]"", ""[Br]"", ""[Br]"", ""[Br]"", ""[Br]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-31.51615845604246, 0.39807736833226176]","[-7.765512310380231, 0.9780194555179015]","[3.2534271495864566e-06, 5.211191170324708e-07]","[22.506017792821996, 8.829832673732326]"
00002,"[""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-28.497469772787138, 1.284482913806093]","[-15.165139123682415, 2.374457737976173]","[1.0912494957931828e-05, 5.620682936503563e-06]","[437.2078459192411, 416.25122010981863]"
00003,"[""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br"", ""C(Br)(Br)Br""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-31.10372427282109, 0.712599376752304]","[3.8061568354831863, 1.7163962069362508]","[3.839008043780648e-06, 1.0970862206108101e-06]","[0.2174909555095717, 0.14971163196798137]"
00004,"[""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-34.241833494038346, 2.4133207516891195]","[-19.91709370191314, 4.342512385477279]","[1.0904790438664453e-06, 1.0545367038264823e-06]","[2939.2578539664855, 5116.4263639948285]"
00005,"[""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl"", ""C(Cl)(Cl)C(Cl)(Cl)Cl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-26.736429058920685, 1.4538911177789025]","[-14.936033538681396, 4.498317095136761]","[2.2111252335812217e-05, 1.2891441597558656e-05]","[398.73403536820973, 719.0999927022106]"
00006,"[""C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]"", ""[OH]"", ""C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-53.60706737758805, 0.6693414675030749]","[-24.496163632009363, 1.011022565976298]","[4.6371538184016726e-10, 1.2443958370227162e-10]","[18412.048278786286, 7462.238010578118]"
00007,"[""C(Cl)(Cl)Cl"", ""[OH]"", ""[OH]"", ""C(Cl)(Cl)Cl"", ""[OH]"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-36.17367386345123, 0.741513544612754]","[-8.002887246741938, 1.7624609949460293]","[5.031741238039191e-07, 1.4959237440446478e-07]","[24.737595156481465, 17.47762666413075]"
00008,"[""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-34.950974128822544, 1.1971060077131128]","[-23.094818420519104, 2.854102406562407]","[8.209442738608617e-07, 3.939532597565375e-07]","[10503.44391845771, 12018.33984533082]"
00009,"[""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl"", ""C(Cl)(Cl)Cl""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-33.830668687443264, 0.8328144852679551]","[9.08353156066812, 2.0703109573221425]","[1.2860117620693495e-06, 4.2893043737798614e-07]","[0.02623146841750812, 0.021769526032341936]"
00010,"[""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F"", ""C(F)(F)C(F)(F)C(F)(F)F""]","[""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]"", ""[OH]""]","[-19.63351289653677, 1.5275392239477759]","[34.07275823781797, 2.723218100262835]","[0.0003814626565511923, 0.0002336227023439039]","[1.168456315380023e-06, 1.2756928953743368e-06]"
